Days_Name,Days_Date,"Humidity [Am, Pm, Night]","Max_Temp  [Am, Pm, Night]","Min_Temp  [Am, Pm, Night]","Rain [Am, Pm, Night]"
Tue,23,"['77', '76', '64']","['29', '28', '29']","['28', '28', '28']","['0.2', '0.6', '-']"
Wednesday,24,"['63', '58', '50']","['30', '30', '30']","['29', '28', '28']","['-', '-', '-']"
Thursday,25,"['59', '57', '54']","['31', '29', '29']","['29', '27', '27']","['-', '-', '-']"
Friday,26,"['56', '53', '50']","['29', '28', '28']","['28', '27', '27']","['-', '-', '-']"
Saturday,27,"['53', '56', '44']","['29', '28', '28']","['28', '26', '26']","['-', '-', '-']"
Sunday,28,"['46', '48', '37']","['29', '28', '27']","['29', '26', '25']","['-', '-', '-']"
Monday,29,"['35', '39', '38']","['29', '28', '26']","['29', '24', '24']","['-', '-', '-']"
Tuesday,30,"['42', '43', '50']","['28', '28', '27']","['28', '26', '26']","['-', '-', '-']"
Wednesday,01,"['59', '64', '73']","['27', '26', '24']","['26', '24', '24']","['0.2', '1.5', '0.9']"
Thursday,02,"['65', '72', '66']","['26', '26', '26']","['25', '24', '23']","['-', '-', '-']"
Friday,03,"['65', '70', '62']","['27', '28', '26']","['27', '23', '23']","['-', '-', '-']"
Saturday,04,"['61', '61', '59']","['27', '27', '27']","['27', '26', '25']","['-', '-', '-']"
